title,city,price,link
Щеночки метисы Пуделя,"Республика Северная Осетия — Алания, Владикавказ",Цена не указана,https://www.avito.ru//vladikavkaz/sobaki/schenochki_metisy_pudelya_1929391167
Тойчики,Москва,25 000  ₽,https://www.avito.ru//moskva/sobaki/toychiki_1924551648
Собака,Москва,80  ₽,https://www.avito.ru//moskva/sobaki/sobaka_1920756514
Пудель,"Самарская область, Тольятти",Цена не указана,https://www.avito.ru//tolyatti/sobaki/pudel_1941607060
Пудель,Санкт-Петербург,30 000  ₽,https://www.avito.ru//sankt-peterburg/sobaki/pudel_1946671467
Собака,"Республика Карелия, Петрозаводский г.о., Петрозаводск",10 000  ₽,https://www.avito.ru//petrozavodsk/sobaki/sobaka_1902077604
Пудель белый мальчик,Москва,Цена не указана,https://www.avito.ru//moskva/sobaki/pudel_belyy_malchik_1904888140
Карликовый-пудель,"Санкт-Петербург, Курортный р-н, пос. Песочный",1  ₽,https://www.avito.ru//sertolovo/sobaki/karlikovyy-pudel_1826828878
Возьму Пуделя,"Краснодарский край, Кореновский р-н, Кореновск",Цена не указана,https://www.avito.ru//korenovsk/sobaki/vozmu_pudelya_1929810527
Пуляша,Москва,60  ₽,https://www.avito.ru//moskva/sobaki/pulyasha_1947369672
Пудель красные и абрикос девочки и мальчики,Москва,45 000  ₽,https://www.avito.ru//moskva/sobaki/pudel_krasnye_i_abrikos_devochki_i_malchiki_1900539437
Снежка,Москва,Цена не указана,https://www.avito.ru//moskva/sobaki/snezhka_1932764899
"Комнатные собачки(шпиц.болонка,йорк,пудель,той тер","Республика Татарстан, Казань",Цена не указана,https://www.avito.ru//kazan/sobaki/komnatnye_sobachkishpits.bolonkayorkpudeltoy_ter_1357098185
Пудель тойчик,"Республика Татарстан, Бугульминский р-н, Бугульма",25 000  ₽,https://www.avito.ru//bugulma/sobaki/pudel_toychik_1905430712
Настоящие тойчики,Москва,1  ₽,https://www.avito.ru//moskva/sobaki/nastoyaschie_toychiki_994120883
Пудель ищем невесту,"Московская область, Люберцы",1  ₽,https://www.avito.ru//lyubertsy/sobaki/pudel_ischem_nevestu_1316593207
Серебрисный щенок пудель,"Воронежская область, Воронеж",Цена не указана,https://www.avito.ru//voronezh/sobaki/serebrisnyy_schenok_pudel_1860102741
Той пудельки с документами,Севастополь,Цена не указана,https://www.avito.ru//sevastopol/sobaki/toy_pudelki_s_dokumentami_1834463193
"Щенки пуделя, черные и один абрикос","Республика Татарстан, Казань",40 000  ₽,https://www.avito.ru//kazan/sobaki/schenki_pudelya_chernye_i_odin_abrikos_1900216773
Щенки русский терьер,"Омская область, Омск",1 000  ₽,https://www.avito.ru//omsk/sobaki/schenki_russkiy_terer_1907725448
Собаки пудель,"Тюменская область, Нижневартовск",1  ₽,https://www.avito.ru//nizhnevartovsk/sobaki/sobaki_pudel_1943609943
Девочка пуделя,Москва,70 000  ₽,https://www.avito.ru//moskva/sobaki/devochka_pudelya_1936646779
Ищу невесту пуделя,"Пермский край, Пермь",Цена не указана,https://www.avito.ru//perm/sobaki/ischu_nevestu_pudelya_1918916480
Приглашаем дам,"Нижегородская область, Нижний Новгород",555  ₽,https://www.avito.ru//nizhniy_novgorod/sobaki/priglashaem_dam_1116229103
Очаровательная малышка,Москва,25 000  ₽,https://www.avito.ru//moskva/sobaki/ocharovatelnaya_malyshka_1816233806
Малыши,"Ростовская область, Ростов-на-Дону",Цена не указана,https://www.avito.ru//rostov-na-donu/sobaki/malyshi_1229310720
Кавудель/кавапу,Москва,Цена не указана,https://www.avito.ru//moskva/sobaki/kavudelkavapu_1933265139
Мальчики идевочки,Москва,1  ₽,https://www.avito.ru//moskva/sobaki/malchiki_idevochki_1252991474
Услуги кавалера,"Краснодарский край, Краснодар",500  ₽,https://www.avito.ru//krasnodar/sobaki/uslugi_kavalera_1103286773
Пропала собака,"Красноярский край, Норильск",Бесплатно,https://www.avito.ru//norilsk/sobaki/propala_sobaka_1833015878
Продам щенков,"Республика Хакасия, Абакан",10 000  ₽,https://www.avito.ru//abakan/sobaki/prodam_schenkov_1948744160
